word,kelas,panjang,definisi,clue
SELONGSONG,benda,10,salut; selubung; ulas; sarung,
YURISDIKSI,benda,10,kekuasaan mengadili; lingkup kuasa kehakiman; peradilan,
SINGGASANA,benda,10,kursi kerajaan untuk tempat duduk raja; takhta,
PERSENTASE,benda,10,bagian yang diperkirakan,
AUDITORIUM,benda,10,"bangunan atau ruangan besar yang digunakan untuk mengadakan pertemuan umum, pertunjukan, d",
INFRAMERAH,benda,10,"sinar yang tidak tampak, terletak di luar bagian merah spektrum yang tampak, gelombangnya",
SINTERKLAS,benda,10,"perayaan memperingati hari ulang tahun Sinterklas, tanggal 6 Desember",
MENSTRUASI,benda,10,datang bulan; haid,
STABILITAS,benda,10,kemantapan; kestabilan; keseimbangan,
KONSTELASI,benda,10,rasi bintang,
EKSPLORASI,benda,10,"penjelajahan lapangan dengan tujuan memperoleh pengetahuan lebih banyak (tentang keadaan),",
EKSTRADISI,benda,10,penyerahan orang yang dianggap melakukan kriminalitas oleh suatu negara kepada negara lain,
REPRODUKSI,benda,10,pengembangbiakan; tiruan; hasil ulang,
ANTISIPASI,benda,10,penyesuaian mental terhadap peristiwa yang akan terjadi,
SUPERVISOR,benda,10,pengawas utama; pengontrol utama; penyelia,
REGENERASI,benda,10,penggantian generasi tua kepada generasi muda; peremajaan,
ANTUSIASME,benda,10,minat besar terhadap sesuatu; kegairahan; gelora semangat,
GERILYAWAN,benda,10,orang (pasukan) yang bergerilya,
PRASEJARAH,benda,10,bagian ilmu sejarah tentang zaman ketika manusia hidup dalam kebudayaan yang belum mengena,
TEMPERAMEN,benda,10,"sifat batin yang tetap memengaruhi perbuatan, perasaan, dan pikiran (periang, penyedih, da",
KEMOTERAPI,benda,10,pengobatan dengan menggunakan zat-zat kimiawi,
VERIFIKASI,benda,10,"pemeriksaan tentang kebenaran laporan, pernyataan, perhitungan uang, dan sebagainya",
INTIMIDASI,benda,10,tindakan menakut-nakuti (terutama untuk memaksa orang atau pihak lain berbuat sesuatu); ge,
TURBULENSI,benda,10,turbulens,
DIAGNOSTIK,benda,10,ilmu untuk menentukan jenis penyakit berdasarkan gejala yang ada,
MISIONARIS,benda,10,orang yang melakukan misi,
KOORDINASI,benda,10,kemampuan respons anggota tubuh terkait keseluruhan rancangan fisik,
NEGOSIATOR,benda,10,orang yang melakukan negosiasi; penegosiasi,
RITSLETING,benda,10,"alat penutup pakaian (baju, celana, dan sebagainya), tas, dan sebagainya terdiri atas dere",
KOREOGRAFI,benda,10,seni tari (balet),
KALKULATOR,benda,10,juru hitung,
SAPUTANGAN,benda,10,kain (cita) persegi untuk menyapu keringat dan sebagainya; selampai,
INTENSITAS,benda,10,keadaan tingkatan atau ukuran intensnya,
REGISTRASI,benda,10,pencatatan; pendaftaran (dalam register),
DEMONSTRAN,benda,10,orang yang berdemonstrasi; pelaku demonstrasi,
AFGANISTAN,benda,10,"negara yang terletak di Asia Tengah, beribu kota Kabul",
EKSISTENSI,benda,10,hal berada; keberadaan,
JURNALISME,benda,10,pekerjaan mengumpulkan dan menulis berita di media massa cetak atau elektronik; kewartawan,
KOMENTATOR,benda,10,orang yang (pekerjaannya) mengomentari atau mengulas suatu berita dan sebagainya; juru ula,
SENTIMETER,benda,10,"satuan ukuran panjang 0,01 m (disingkat cm)",
SIMPATISAN,benda,10,orang yang bersimpati (kepada partai politik dan sebagainya),
SURVEILANS,benda,10,pengintaian,
HIPOTERMIA,benda,10,keadaan suhu tubuh yang turun hingga di bawah 35�C,
NASIONALIS,benda,10,pencinta nusa dan bangsa sendiri,
SUPERMODEL,benda,10,adiperagawan; adiperagawati,
KELINGKING,benda,10,jari tangan yang terkecil,
KARBURATOR,benda,10,"bagian mesin motor, tempat gas bahan bakar minyak bercampur dengan udara",
ANTIMATERI,benda,10,materi yang tersusun atas antipartikel,
KOLESTEROL,benda,10,"lemak yang biasanya terdapat dalam darah, otak, empedu, dan batu empedu",
UZBEKISTAN,benda,10,"negara yang terletak di Asia Tengah, beribu kota Tashkent",
PARIWISATA,benda,10,yang berhubungan dengan perjalanan untuk rekreasi; pelancongan; turisme,
RASULULLAH,benda,10,utusan Allah Swt. (Nabi Muhammad saw.),
HALILINTAR,benda,10,kilat; mata petir,
PERSONALIA,benda,10,"yang berkaitan dengan orang atau nama orang (tentang urusan, pengumuman, dan sebagainya)",
FAHRENHEIT,benda,10,satuan suhu dalam skala termometer yang membagi suhu di antara pembekuan air dan pendidiha,
MANUFAKTUR,aksi,10,membuat atau menghasilkan dengan tangan atau mesin,
KOMISIONER,benda,10,orang yang menjadi anggota sebuah komisi,
INVENTARIS,benda,10,"daftar ternak yang menyebutkan macam, ukurannya, dan sebagainya",
PERIBAHASA,benda,10,"ungkapan atau kalimat ringkas padat, berisi perbandingan, perumpamaan, nasihat, prinsip hi",
PORTOFOLIO,benda,10,dompet,
PROTAGONIS,benda,10,penganjur suatu paham,
MENTALITAS,benda,10,"keadaan dan aktivitas jiwa (batin), cara berpikir, dan berperasaan",
PREFERENSI,benda,10,pilihan; kecenderungan; kesukaan,
ANTROPOLOG,benda,10,ahli antropologi,
DIREKTORAT,benda,10,"bagian dari departemen yang tugasnya mengurus suatu bidang tertentu, dikepalai oleh seoran",
SARKOFAGUS,benda,10,"peti mayat yang dibuat dari batu (seperti yang biasa digunakan pada zaman Yunani, Romawi,",
EMANSIPASI,benda,10,pembebasan dari perbudakan,
HABIBULLAH,benda,10,kesayangan Allah; kekasih Allah,
KOLABORASI,benda,10,(perbuatan) kerja sama untuk membuat sesuatu,
FERMENTASI,benda,10,peragian,
KOMPETITOR,benda,10,orang yang bersaing,
VANDALISME,benda,10,perusakan dan penghancuran secara kasar dan ganas,
LEGITIMASI,benda,10,pernyataan yang sah (menurut undang-undang atau sesuai dengan undang-undang); pengesahan,
BENTANGKAN,benda,10,denda adat karena berzina atau mengingkari janji perkawinan (pada suku Dayak),
YOGYAKARTA,benda,10,"ibu kota Provinsi Daerah Istimewa Yogyakarta, dikenal dengan Kota Gudeg",
PENYISIRAN,benda,10,"proses, cara, perbuatan menyisir",
KONSORSIUM,benda,10,himpunan sarjana sebidang yang mengurus kepentingan bersama,
SANATORIUM,benda,10,tempat penyembuhan orang yang berpenyakit kronis,
AKSELERASI,benda,10,proses mempercepat,
SALAMANDER,benda,10,"binatang amfibi serupa kadal dengan tubuh ramping, ekor panjang, hidung pendek, kulit lici",
NUKLEOTIDA,benda,10,"struktur pembentuk inti sel DNA dan RNA yang penting untuk perkembangan sel, fungsi-fungsi",
NARASUMBER,benda,10,orang yang memberi (mengetahui secara jelas atau menjadi sumber) informasi; informan,
EKTOPLASMA,benda,10,lapisan luar protoplasma yang bersifat liat dan kaku yang terdapat pada sel tertentu,
KONSENTRAT,benda,10,mineral berharga yang dipisahkan dari bijih setelah mengalami pengolahan tertentu,
ANTISOSIAL,benda,10,sikap menutup diri dari masyarakat,
KONSTITUEN,benda,10,"bagian yang penting, misalnya natrium adalah konstituen garam dapur",
DEKOMPRESI,benda,10,pengurangan atau peniadaan tekanan,
SENIORITAS,benda,10,perihal senior,
SAGITARIUS,benda,10,nama gugus bintang di belahan langit sebelah selatan khatulistiwa (tampak pada waktu malam,
TERMOMETER,benda,10,alat ukur suhu,
AKUPUNKTUR,benda,10,pengobatan atau pemeriksaan orang sakit dengan tusuk jarum (cara pengobatan Cina); tusuk j,
ELEKTROLIT,benda,10,senyawa yang larutannya merupakan penghantar arus listrik,
METODOLOGI,benda,10,ilmu tentang metode; uraian tentang metode,
ANTISEPTIK,benda,10,zat yang terdapat pada jaringan hidup untuk menahan atau menghancurkan pertumbuhan jasad r,
MADAGASKAR,benda,10,"negara yang terletak di Samudra Hindia Barat, beribu kota Antananarivo",
ANONIMITAS,benda,10,hal tidak ada nama,
KOMPETENSI,benda,10,kewenangan (kekuasaan) untuk menentukan (memutuskan sesuatu),
MENINGITIS,benda,10,peradangan pada selaput otak dan sumsum tulang belakang,
MONOKULTUR,benda,10,penanaman satu jenis tanaman dalam suatu urutan musim pada tanah yang sama (misalnya baik,
HIDROPONIK,benda,10,"cara bercocok tanam tanpa menggunakan tanah, biasanya dikerjakan dalam kamar kaca dengan m",
TRANSISTOR,benda,10,pesawat radio yang menggunakan transistor,
HIPERTENSI,benda,10,tekanan darah atau denyut jantung yang lebih tinggi daripada normal karena penyempitan pem,
BANGLADESH,benda,10,"negara yang terletak di Asia Selatan, beribu kota Dhaka",
PREROGATIF,benda,10,hak istimewa yang dipunyai oleh kepala negara mengenai hukum dan undang-undang di luar kek,
SEMBAHYANG,benda,10,salat,
TRANSMITER,benda,10,pemancar; bagian (alat) telepon dan sebagainya yang berfungsi mengirimkan pesan,
MEMORANDUM,benda,10,nota atau surat peringatan tidak resmi,
INSEMINASI,benda,10,"pengembangan, penyebaran, penangkaran",
KALIMANTAN,benda,10,suku bangsa di Provinsi Kalimantan Barat,
SOSIALISME,benda,10,"ajaran atau paham kenegaraan dan ekonomi yang berusaha supaya harta benda, industri, dan p",
LINGUISTIK,benda,10,ilmu tentang bahasa,
KONSERVASI,benda,10,"proses menyaput bagian dalam badan mobil, kapal, dan sebagainya untuk mencegah karat",
VENTILATOR,benda,10,mesin yang membantu pasien untuk bernapas,
MUSYAWARAH,benda,10,pembahasan bersama dengan maksud mencapai keputusan atas penyelesaian masalah; perundingan,
ARISTOKRAT,benda,10,orang dari golongan bangsawan; ningrat,
DEGENERASI,benda,10,kemunduran atau perubahan menjadi sesuatu yang rusak,
PARTIKULAT,benda,10,"partikel yang sangat kecil atau halus (debu, asap, dan sebagainya)",
MONTENEGRO,benda,10,bahasa yang dituturkan di Montenegro,
AFRODISIAK,benda,10,obat perangsang kegiatan seksual,
IMPERIALIS,benda,10,bangsa (negara) yang menjalankan politik menjajah bangsa (negara) lain; negara yang memper,
PERSNELING,benda,10,alat untuk mengatur kecepatan kendaraan bermotor (berupa roda gigi),
SANGKAKALA,benda,10,"trompet (dari kulit kerang, dan sebagainya); trompet berkala atau bunyian berkala",
REPUBLIKAN,benda,10,penganut ketatanegaraan yang berbentuk republik,
STRATOSFER,benda,10,lapisan udara di antara 10�60 km di atas permukaan bumi; lapisan udara di atas troposfer,
MARGASATWA,benda,10,binatang yang hidup liar di hutan (tidak diternakkan atau dipelihara),
PANSPERMIA,benda,10,teori yang menyatakan bahwa kehidupan di Bumi berasal dari benih-benih kehidupan yang ters,
KERANGKENG,benda,10,tempat untuk mengurung anak kecil,
METAFISIKA,benda,10,ilmu pengetahuan yang berhubungan dengan hal-hal yang nonfisik atau tidak kelihatan,
TENDERLOIN,benda,10,"daging sapi bagian punggung dalam, sangat lunak, tidak berotot, dan tidak berlemak",
MOBILISASI,benda,10,gerak yang mudah (cepat); perputaran,
MONITORING,benda,10,pemantauan,
IKONOGRAFI,benda,10,ilmu tentang seni dan teknik membuat arca,
PROKLAMASI,benda,10,pemberitahuan resmi kepada seluruh rakyat; pemakluman; pengumuman,
INFILTRASI,benda,10,penyusupan; perembesan; campur tangan,
KREDENSIAL,benda,10,"sertifikat, surat, atau pernyataan yang menyatakan kemampuan seseorang melakukan sesuatu",
KARTOGRAFI,benda,10,ilmu mengenai peta,
LIKUIDITAS,benda,10,perihal posisi uang kas suatu perusahaan dan kemampuannya untuk memenuhi kewajiban yang ja,
SUBSTITUSI,benda,10,penggantian,
ANGKASAWAN,benda,10,astronaut,
SIMBOLISME,benda,10,"perihal pemakaian simbol (lambang) untuk mengekspresikan ide-ide (misalnya sastra, seni)",
SEISMOLOGI,benda,10,ilmu tentang gempa bumi,
ALTERNATOR,benda,10,generator elektris yang digunakan untuk menghasilkan arus bolak-balik; dinamo,
LIKUIDITAS,benda,10,perihal posisi uang kas suatu perusahaan dan kemampuannya untuk memenuhi kewajiban yang ja,
SUBSTITUSI,benda,10,penggantian,
ANGKASAWAN,benda,10,astronaut,
SIMBOLISME,benda,10,"perihal pemakaian simbol (lambang) untuk mengekspresikan ide-ide (misalnya sastra, seni)",
SEISMOLOGI,benda,10,ilmu tentang gempa bumi,
ALTERNATOR,benda,10,generator elektris yang digunakan untuk menghasilkan arus bolak-balik; dinamo,
